"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL250891";"";"None";"454.93";"0";"2.33";"table 12, 4";"C[C@@]1(O)CCCN(S(=O)(=O)c2ccc(OCc3ccccc3Cl)cc2)C1C(=O)NO";"IC50";"'='";"269.15";"nM";"6.57";"";"";"UO_0000065";"14.44";"0.30";"4.24";"5.66";"0";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"6.57"
"CHEMBL251458";"";"None";"550.64";"2";"5.27";"table 13, 4";"CNC(=O)[C@@H](Cc1ccc(OC)cc1)NC(=O)C(CC(C)C)CP(=O)(O)Cc1cccc(-c2ccccc2)c1";"IC50";"'='";"5128.61";"nM";"5.29";"";"";"UO_0000065";"9.61";"0.19";"0.02";"5.05";"0";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"5.29"
"CHEMBL400292";"";"None";"474.54";"0";"3.60";"table 13, 2";"CNC(=O)[C@@H](Cc1ccc(OC)cc1)NC(=O)C(CC(C)C)CP(=O)(O)Cc1ccccc1";"IC50";"'='";"15135.61";"nM";"4.82";"";"";"UO_0000065";"10.16";"0.20";"1.22";"4.60";"0";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"4.82"
"CHEMBL440714";"";"None";"398.87";"0";"2.43";"table 14, 31";"COc1ccc(S(=O)(=O)N(Cc2ccccc2Cl)C(C)C(=O)NO)cc1";"IC50";"'='";"52.48";"nM";"7.28";"";"";"UO_0000065";"18.25";"0.38";"4.85";"7.59";"0";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"7.28"
"CHEMBL99103";"";"None";"531.65";"1";"3.94";"table 16, 6";"CNC(=O)[C@@H]1Cc2ccc(cc2)OCCCC[C@H](C(=O)NO)[C@@H](CCCc2cccc3ccccc23)C(=O)N1";"IC50";"'='";"28.18";"nM";"7.55";"";"";"UO_0000065";"14.20";"0.26";"3.61";"6.47";"1";"CHEMBL924949";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140610";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";"";"";"7.55"
"CHEMBL271867";"";"None";"387.41";"0";"2.86";"9b";"COc1ccc(Oc2ccc(S(=O)(=O)Cc3cccn(O)c3=O)cc2)cc1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL929068";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143204";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"1000.0"
"CHEMBL433415";"";"None";"389.43";"0";"0.95";"(-)6k";"O=C(NO)c1ccccc1S(=O)(=O)N1CCN(C(=O)c2ccccc2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL718871";"50 percent inhibition of human Matrix metalloprotease-1 by the cleavage of fluorogenic peptide MCA-Pro-Leu-Gly-Leu-Dpa-ala-Arg-NH2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133364";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"10000.0"
"CHEMBL436324";"";"None";"353.40";"0";"-0.44";"5c";"CC#CCOc1ccc(S(=O)(=O)N2CCNCC2C(=O)NO)cc1";"IC50";"'='";"676.0";"nM";"6.17";"";"";"UO_0000065";"17.46";"0.35";"6.61";"5.71";"0";"CHEMBL881783";"Inhibitory activity against matrix metallopeptidase 1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141066";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"676.0"
"CHEMBL370825";"";"None";"452.53";"0";"0.73";"5i";"CC#CCOc1ccc(S(=O)(=O)N2CCN(C(=O)N(CC)CC)CC2C(=O)NO)cc1";"IC50";"'='";"1752.0";"nM";"5.76";"";"";"UO_0000065";"12.72";"0.25";"5.03";"4.82";"0";"CHEMBL881783";"Inhibitory activity against matrix metallopeptidase 1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141066";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"1752.0"
"CHEMBL44138";"";"None";"475.61";"0";"4.47";"9";"COc1ccc(S(=O)(=O)C(CCCCc2ccccc2)CC(=O)NO)cc1OC1CCCC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL872795";"Inhibition of Matrix metalloprotease-1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133244";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"None";"";"";"";"10000.0"
"CHEMBL187245";"";"None";"454.93";"0";"2.33";"19";"C[C@@]1(O)CCCN(S(=O)(=O)c2ccc(OCc3cccc(Cl)c3)cc2)[C@H]1C(=O)NO";"IC50";"'='";"860.0";"nM";"6.07";"";"";"UO_0000065";"13.33";"0.28";"3.74";"5.22";"0";"CHEMBL828503";"Inhibitory concentration against MMP-1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139577";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"860.0"
"CHEMBL415872";"";"None";"404.43";"0";"2.39";"14e";"Cc1ccc(=O)n(CC(COc2ccc(-c3ccc(C#N)cc3)cc2)N(O)C=O)n1";"IC50";"'='";"4200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL713704";"In vitro inhibition of Matrix metalloprotease-1.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134095";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"4200.0"
"CHEMBL190506";"";"None";"485.56";"0";"2.47";"27";"CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccnc4ccccc34)cc2)[C@H]1C(=O)NO";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"13.94";"0.27";"4.30";"5.25";"0";"CHEMBL827914";"Inhibitory concentration against Matrix metalloprotease-1 (MMP-1)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145277";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"170.0"
"CHEMBL99745";"";"None";"632.58";"2";"5.15";"4e";"COc1ccc(S(=O)(=O)N(Cc2ccc(OCCN3CCCCC3)cc2)c2c(C)cc(Br)cc2C(=O)NO)cc1";"IC50";"'='";"35.0";"nM";"7.46";"";"";"UO_0000065";"11.79";"0.25";"2.31";"6.88";"0";"CHEMBL714563";"In vitro inhibition of Matrix metalloprotease-1.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133846";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"35.0"
"CHEMBL398351";"";"None";"447.56";"0";"2.96";"(S)-8d";"Cc1ccc(Oc2ccc(N(C[C@H](NC3CCCC3)C(=O)NO)S(C)(=O)=O)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL944755";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"10.0"
"CHEMBL253033";"";"None";"435.55";"0";"2.67";"(S)-8c";"Cc1ccc(Oc2ccc(N(C[C@H](NCC(C)C)C(=O)NO)S(C)(=O)=O)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL944755";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"10.0"
"CHEMBL253032";"";"None";"421.52";"0";"2.43";"(S)-8b";"Cc1ccc(Oc2ccc(N(C[C@H](NC(C)C)C(=O)NO)S(C)(=O)=O)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL944755";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"10.0"
"CHEMBL398350";"";"None";"421.52";"0";"2.43";"(R)-8b";"Cc1ccc(Oc2ccc(N(C[C@@H](NC(C)C)C(=O)NO)S(C)(=O)=O)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL944755";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"10.0"
"CHEMBL2431023";"";"None";"479.15";"0";"3.15";"16";"O=C(O)CNS(=O)(=O)c1ccc(OCc2cc(Br)cc(Br)c2)cc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2432517";"Inhibition of recombinant human MMP-1 using Mca-Lys-Pro-Leu-Gly-Leu-Dap(Dnp)-Ala-Arg-NH2 as substrate incubated for 4 hrs measured every 15 secs for 20 mins by fluorimetric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2429772";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";""
"CHEMBL2431032";"";"None";"412.47";"0";"2.72";"6";"O=C(CNS(=O)(=O)c1ccc(OCc2ccc(-c3ccccc3)cc2)cc1)NO";"IC50";"'>'";"500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2432517";"Inhibition of recombinant human MMP-1 using Mca-Lys-Pro-Leu-Gly-Leu-Dap(Dnp)-Ala-Arg-NH2 as substrate incubated for 4 hrs measured every 15 secs for 20 mins by fluorimetric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2429772";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"500000.0"
"CHEMBL400528";"";"None";"533.65";"1";"1.46";"31";"Cc1cc(C#N)ccc1C1CCN(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)OC3CCNC3)CC2)CC1";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL927856";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140810";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"5000.0"
"CHEMBL253230";"";"None";"547.68";"1";"1.85";"30";"Cc1cc(C#N)ccc1C1CCN(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)OC[C@H]3CCCN3)CC2)CC1";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL927856";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140810";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"5000.0"
"CHEMBL251821";"";"None";"505.60";"1";"4.69";"(S)-8o";"Cc1ccc(Oc2ccc(N(C[C@H](Nc3ccc4ccccc4c3)C(=O)NO)S(C)(=O)=O)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL944755";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"10.0"
"CHEMBL254293";"";"None";"455.54";"0";"3.54";"(S)-8j";"Cc1ccc(Oc2ccc(N(C[C@H](Nc3ccccc3)C(=O)NO)S(C)(=O)=O)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL944755";"Inhibition of MMP1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140820";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"10.0"
"CHEMBL59104";"";"None";"520.60";"1";"3.03";"13";"COCCOC(=O)NC1CCC([C@@H](NS(=O)(=O)c2ccc(-c3ccc(OC)cc3)cc2)C(=O)O)CC1";"IC50";"'='";"4183.0";"nM";"5.38";"";"";"UO_0000065";"10.33";"0.20";"2.35";"3.83";"0";"CHEMBL715379";"In vitro inhibitory concentration against Matrix metalloprotease-1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133883";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"4183.0"
"CHEMBL330588";"";"None";"578.05";"1";"4.86";"8n";"O=C(NO)C1CN(C(=O)c2ccccc2)c2ccccc2CN1S(=O)(=O)c1ccc(Oc2ccc(Cl)cc2)cc1";"IC50";"'='";"59.0";"nM";"7.23";"";"";"UO_0000065";"12.51";"0.25";"2.37";"6.22";"0";"CHEMBL714546";"Concentration required in vitro to inhibit Matrix metalloprotease-1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135203";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"59.0"
"CHEMBL77923";"";"None";"562.69";"2";"5.88";"10";"CNC(=O)[C@@H](NC(=O)C(CCc1ccc(C)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C";"IC50";"'='";"630.0";"nM";"6.20";"";"";"UO_0000065";"11.02";"0.21";"0.32";"6.49";"0";"CHEMBL714554";"Inhibitory activity against matrix metalloprotease-1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136104";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"630.0"
"CHEMBL264374";"BEZAFIBRATE";"3.0";"361.83";"0";"3.55";"BEZAFIBRATE";"CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909196";"DRUGMATRIX: Peptidase, Matrix Metalloprotease-1 (MMP-1) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"Rheumatoid synovial fibroblasts";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"Not Active";""
"CHEMBL95807";"";"None";"487.56";"0";"2.48";"8e";"COc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)c3cccs3)CC2C(=O)NO)cc1";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"15.79";"0.32";"5.22";"6.62";"0";"CHEMBL714546";"Concentration required in vitro to inhibit Matrix metalloprotease-1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135203";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"20.0"
"CHEMBL1235242";"";"None";"183.18";"0";"0.78";"4-FLUORO-L-PHENYLALANINE";"N[C@@H](Cc1ccc(F)cc1)C(=O)O";"IC50";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909196";"DRUGMATRIX: Peptidase, Matrix Metalloprotease-1 (MMP-1) enzyme inhibition (substrate: Mca-Pro-Leu-Gly-Leu-Dpa-Ala-Arg-NH2)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"Rheumatoid synovial fibroblasts";"None";"None";"";"";"";"CHEMBL332";"Interstitial collagenase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"Not Active";""
